FORMULA,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),Specific Stiffness,Specific Strength,Cost
Nb0.5 Ti0.5 V1 Zr0.5,25.0,6.4,918.0,105.0,50.0,16.40625,143.4375,145.236
Nb1 Ti1 V1 Zr1,25.0,6.5,1105.0,100.0,50.0,15.384615384615385,170.0,104.59
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,25.0,9.9,1112.0,115.0,50.0,11.616161616161616,112.32323232323232,262.58378243698485
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,25.0,9.9,1317.0,123.0,50.0,12.424242424242424,133.03030303030303,254.23826950959236
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,25.0,9.9,1373.0,130.0,50.0,13.131313131313131,138.68686868686868,246.49621192708003
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,25.0,9.9,1512.0,137.0,12.0,13.838383838383837,152.72727272727272,239.29444069078394
Hf1 Nb1 Ta1 Ti1 Zr1,25.0,9.9,1015.0,107.0,50.0,10.808080808080808,102.52525252525253,271.60616647663596
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,25.0,9.9,1512.0,137.0,12.0,13.838383838383837,152.72727272727272,239.29444069078394
Hf1 Mo1 Ta1 Ti1 Zr1,25.0,10.2,1600.0,143.0,4.0,14.019607843137257,156.86274509803923,276.69167724029955
Hf1 Mo1 Nb1 Ti1 Zr1,25.0,8.7,1575.0,128.0,9.0,14.712643678160921,181.0344827586207,324.79280976765716
Hf1 Mo1 Nb1 Ti1 Zr1,25.0,8.7,1719.0,128.0,10.0,14.712643678160921,197.58620689655174,324.79280976765716
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,25.0,8.2,903.0,103.0,19.0,12.560975609756099,110.1219512195122,206.25408999576743
Hf1 Nb1 Ta1 Ti1 Zr1,25.0,9.9,929.0,107.0,50.0,10.808080808080808,93.83838383838383,271.60616647663596
Mo1 Nb1 Ta1 V1,25.0,10.7,1525.0,186.0,21.0,17.38317757009346,142.52336448598132,9.14396679074929
Mo1 Nb1 Ta1 V1 W1,25.0,12.4,1246.0,229.0,2.0,18.467741935483872,100.48387096774194,17.097519189405833
Mo1 Nb1 Ta1 W1,25.0,13.7,1058.0,250.0,2.0,18.248175182481752,77.22627737226277,18.67071164740738
Mo1 Nb1 Ti1 V0.25 Zr1,25.0,7.3,1776.0,142.0,30.0,19.45205479452055,243.2876712328767,56.55
Mo1 Nb1 Ti1 V0.5 Zr1,25.0,7.2,1647.0,142.0,28.0,19.72222222222222,228.75,10.885580044407645
Mo1 Nb1 Ti1 V0.75 Zr1,25.0,7.2,1708.0,141.0,29.0,19.583333333333332,237.22222222222223,10.506966140066254
Mo1 Nb1 Ti1 V1 Zr1,25.0,7.1,1786.0,141.0,26.0,19.859154929577464,251.5492957746479,88.26
Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,25.0,7.1,1735.0,140.0,20.0,19.71830985915493,244.3661971830986,9.515116058169099
Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,25.0,7.0,1538.0,139.0,23.0,19.857142857142858,219.71428571428572,8.950430978627114
Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,25.0,6.9,1418.0,138.0,24.0,20.0,205.5072463768116,7.999524128585481
Mo1 Nb1 Ti1 Zr1,25.0,7.3,1592.0,143.0,34.0,19.589041095890412,218.08219178082192,11.731024675135307
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,25.0,7.1,1465.0,174.0,2.0,24.507042253521128,206.3380281690141,51.61
Cu1 Mn1 Ni1 Zn0.333,25.0,8.3,215.0,167.0,60.0,20.12048192771084,25.903614457831324,6.798751728554861
Cu1 Mn1 Ni1 Zn0.25,25.0,8.3,140.0,169.0,65.0,20.361445783132528,16.867469879518072,6.917907153573737
Al0.053 Cu1 Mn1 Ni1,25.0,8.3,330.0,173.0,45.0,20.843373493975903,39.75903614457831,7.276634276284435
Hf1 Nb1 Ti1 V1 Zr1,25.0,8.1,1120.0,95.0,30.0,11.728395061728396,138.27160493827162,348.1283493383826
Hf1 Nb1 Ta1 Ti1 Zr1,25.0,9.9,1900.0,107.0,7.9,10.808080808080808,191.91919191919192,271.60616647663596
Hf1 Nb1 Ta1 Ti1 Zr1,25.0,9.9,830.0,107.0,9.2,10.808080808080808,83.83838383838383,271.60616647663596
Hf1 Nb1 Ta1 Ti1 Zr1,25.0,9.9,1202.0,107.0,4.7,10.808080808080808,121.41414141414141,271.60616647663596
Hf1 Nb1 Ta1 Ti1 Zr1,25.0,9.9,1145.0,107.0,9.7,10.808080808080808,115.65656565656565,271.60616647663596
Hf1 Nb1 Ta1 Zr1,25.0,11.1,1315.0,105.0,21.6,9.45945945945946,118.46846846846847,295.53048974822445
